insertId,jsonPayload.extra.duration,jsonPayload.extra.statusCode,jsonPayload.extra.url,jsonPayload.message,jsonPayload.module,jsonPayload.user_id,"labels.""compute.googleapis.com/resource_name""","labels.""k8s-pod/app_kubernetes_io/instance""","labels.""k8s-pod/app_kubernetes_io/name""","labels.""k8s-pod/pod-template-hash""","labels.""k8s-pod/role""",logName,receiveTimestamp,resource.labels.cluster_name,resource.labels.container_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp,trace
bxl6tyg2sgzbwm,0.066829,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344008997_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:57:53.016737663Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:57:49.563748592Z,projects/passculture-metier-prod/traces/54085b90fa98b80622d6a0d229717174
1r9gxjefvurlh3,0.066877,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344008997_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:57:49.016096188Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:57:48.782760232Z,projects/passculture-metier-prod/traces/f8628aabfca637a9ffe2d311bedb5bc3
x0rakeg3pmbrcn,0.259795,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344008997_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:57:33.011869545Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-xmkgj,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:57:28.882419103Z,projects/passculture-metier-prod/traces/8ab89c1f70f189b11b537315973ed585
ftr420g4ao21cv,0.184725,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344006580_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:57:08.015424402Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:57:04.070553183Z,projects/passculture-metier-prod/traces/8b2dc6dd85991026ad2be67e793a5df9
1fc0lqgfb9dmdp,0.184891,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344006580_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-1d9bbe60-3o17,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:56:50.009206686Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-9rhd6,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:56:45.662515430Z,projects/passculture-metier-prod/traces/01718ae885339561c1ddce5e9a0c8302
184e2ong40uglp4,0.079974,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344006474_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-1d9bbe60-3o17,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:56:20.024600074Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-9rhd6,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:56:16.545174352Z,projects/passculture-metier-prod/traces/5448b9fda44c64ea47a66ae7653eebb4
xuy8xbg41d0lfn,0.174919,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344006474_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-1d9bbe60-3o17,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:56:00.022520820Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-9rhd6,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:55:56.219113182Z,projects/passculture-metier-prod/traces/690e06f1b8847c0eb798919c4a9f5dd6
1io41gdg46y7uoz,0.071099,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344004951_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-d01006a7-url0,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:55:29.011264803Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4nvjt,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:55:26.825239914Z,projects/passculture-metier-prod/traces/8e2dfc00f5dec1699cd06a72aaf82ff4
mhfmbeg4itqupv,0.128192,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344004951_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:55:09.032494584Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:55:05.477395732Z,projects/passculture-metier-prod/traces/3f133ebaf0ddde2d1b50d10a2b3d39b1
16gro0kg4h3aw1t,0.053313,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344004258_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,140728,gke-cluster-metier-p-node-pool-metier-d01006a7-url0,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-27T12:54:09.022590802Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4nvjt,passculture-metier-prod,k8s_container,INFO,2021-04-27T12:54:07.135578035Z,projects/passculture-metier-prod/traces/4e7bcbdbf7181abcd08234c207f23cef
